Name,Stars⭐,Last Updated,First Commit,URL,Forks,Issues,Language,License,Description,Topics
plantuml-generator,103,2024-11-08,2018-11-04,https://github.com/devlauer/plantuml-generator,30,17,Java,Apache License 2.0,utility and maven plugin project for generating plantuml class diagrams and sequence diagrams out of java classes,"maven,plantuml,plantuml-generator,uml"
uml-diagram-for-python-design-pattern-examples,99,2025-03-29,2020-12-24,https://github.com/takaakit/uml-diagram-for-python-design-pattern-examples,17,0,HTML,No license,UML diagram list of GoF design pattern examples written in Python.,"design-patterns,diagram,gof,python,uml"
plantuml-service,99,2025-06-02,2016-08-06,https://github.com/bitjourney/plantuml-service,7,3,Kotlin,Other,"High-performance HTTP service for PlantUML, used in Kibela","kibela,plantuml,uml,web-api"
PSClassUtils,96,2024-06-19,2018-06-15,https://github.com/Stephanevg/PSClassUtils,24,53,PowerShell,No license,A set of utilities to work with Powershell Classes,"classes,graphviz,powershell,powershell-modules,uml"
DomainStory-PlantUML,94,2025-03-12,2020-02-29,https://github.com/johthor/DomainStory-PlantUML,6,7,Shell,MIT License,A PlantUML macro library to describe your domain story as code.,"domain-story,domain-storytelling,plantuml"
BESSER,93,2025-06-05,2022-09-21,https://github.com/BESSER-PEARL/BESSER,18,43,Python,MIT License,A Python-based low-modeling low-code platform for smart and AI-enhanced software,"ai,code-generation,dsl,language-modeling,low-code,low-code-platform,lowcode,mde,metamodel,modeling,python,uml"
PlantUmlViewer,92,2025-03-20,2022-05-20,https://github.com/Fruchtzwerg94/PlantUmlViewer,9,4,C#,MIT License,"A Notepad++ plugin to generate, view and export PlantUML diagrams","diagram,notepad-plus-plus,notepadplusplus,notepadpp,plant-uml,plantuml,plantuml-diagrams,uml"
umls2rdf,86,2024-08-28,2012-02-06,https://github.com/ncbo/umls2rdf,36,13,Python,Other,These python scripts connect to the Unified Medical Language System (UMLS) database and translate the ontologies into RDF/OWL files. This is part of the BioPortal project.,
Apollon,86,2025-04-01,2018-02-05,https://github.com/ls1intum/Apollon,30,74,TypeScript,MIT License,UML Modeling Editor written in React,"artemis,modeling-exercises,uml"
protobuf-uml-diagram,76,2025-06-04,2019-05-16,https://github.com/kinow/protobuf-uml-diagram,14,1,Jupyter Notebook,Apache License 2.0,Create UML diagrams from Protobuf compiled .proto files using Python,"diagram,graphviz,hacktoberfest,protobuf,uml"
textuml,76,2025-05-27,2014-06-14,https://github.com/abstratt/textuml,9,46,Java,Eclipse Public License 1.0,TextUML compiler and the TextUML Toolkit,"dsl,eclipse,textual,uml"
epsilon,76,2025-05-28,2022-09-26,https://github.com/eclipse-epsilon/epsilon,12,31,Java,Eclipse Public License 2.0,"Epsilon is a family of Java-based scripting languages for automating common model-based software engineering tasks, such as code generation, model-to-model transformation and model validation, that wo","domain-specific-languages,model-based-software-engineering,model-driven-engineering"
doctrine-diagram-bundle,74,2025-05-12,2021-09-21,https://github.com/jawira/doctrine-diagram-bundle,4,4,PHP,MIT License,📐 Symfony Bundle to generate database diagrams,"database,diagram,doctrine,php,symfony-bundle,uml"
proto-gen-md-diagrams,68,2024-06-19,2023-02-04,https://github.com/GoogleCloudPlatform/proto-gen-md-diagrams,18,9,Go,Apache License 2.0,A utility for generating Markdown documentation for Protocol Buffers that include Mermaid UML Diagrams.,"documentation,markdown,protobuf,protocol-buffers"
nvim-soil,66,2025-03-02,2023-02-02,https://github.com/javiorfo/nvim-soil,13,0,Lua,MIT License,Neovim plugin  for Plant UML,"neovim,neovim-plugin,plantuml,uml"
frame_transpiler,66,2025-01-19,2021-04-24,https://github.com/frame-lang/frame_transpiler,9,160,Rust,MIT License,Frame is a markdown language for creating state machines (automata) in Python as well as generating UML documentation.,"automata,cpp,csharp,frame-language,gdscript,golang,java,javascript,language,python3,rust,state-machines"
plantuml,63,2025-05-13,2018-03-07,https://github.com/koppor/plantuml,12,19,TeX,LaTeX Project Public License v1.3c,A LuaLaTeX package for PlantUML in LaTeX,"latex,latex-package,lualatex,plantuml,uml"
umlwriter,62,2024-12-06,2015-03-19,https://github.com/llaville/umlwriter,6,0,PHP,MIT License,Create UML class diagrams from your PHP source,"php,uml-class-diagram"
use,60,2025-05-12,2020-10-09,https://github.com/useocl/use,24,19,Java,GNU General Public License v2.0,Home of the UML-based Specification Environment (USE),"modeling,ocl,uml,validation,verification"
flow-lens,57,2025-05-02,2024-11-15,https://github.com/google/flow-lens,7,13,TypeScript,Apache License 2.0,"A powerful tool that transforms Salesforce Flow XML files into visual UML diagrams using PlantUML, Graphviz, or Mermaid. Visualize flow structure, highlight changes between versions with Git diff inte","flow,salesforce,uml"
ocl.js,57,2025-06-02,2016-04-07,https://github.com/SteKoe/ocl.js,10,5,TypeScript,Other,The Object Constraint Language (OCL) is a language for describing rules that apply to MOF conform modelling languages like UML. The OCL is a text based language that provides constraint and object que,"constraint-language,constraints,javascript,language,ocl,ocl-expression"
miros,57,2024-06-09,2017-10-10,https://github.com/aleph2c/miros,4,0,Python,No license,Python statecharts,"harel,hsm,python3,reactive-programming,state-machine,statecharts,uml,uml-state-machine"
sphinx-pyreverse,52,2024-11-14,2012-10-02,https://github.com/sphinx-pyreverse/sphinx-pyreverse,18,1,Python,GNU General Public License v3.0,Simple sphinx wrapper around pyreverse (from pylint suit) to generate UML diagramms from modules.,
linkml-model,52,2025-06-02,2021-03-14,https://github.com/linkml/linkml-model,20,19,Python,No license,Link Modeling Language (LinkML) model,"data-integration,data-modeling,graph-ql,json,json-schema,linked-data,linkml,metadata,metamodel,schema-language,semantic-web,shacl,shex,uml,yaml"
joplin-plugin-plantUML,51,2024-07-06,2021-10-04,https://github.com/marc0l92/joplin-plugin-plantUML,8,7,TypeScript,MIT License,Render PlantUML diagram inside your Joplin notes.,
webgme-hfsm,50,2025-04-29,2017-04-10,https://github.com/finger563/webgme-hfsm,18,7,C++,MIT License,"Metamodel, visualization, simulation, and code generation for Hierarchical Finite State Machines (HFSMs) following the UML State Machine spec.","code-generators,fsm,hfsm,state-machine,uml,uml-state-machine,webgme,webgme-domain"
