Name,Stars⭐,Last Updated,First Commit,URL,Forks,Issues,Language,License,Description,Topics
plantuml,13186,2026-07-16,2010-11-04,https://github.com/plantuml/plantuml,1219,595,Java,GNU Lesser General Public License v3.0,Generate diagrams from textual description,"diagram,diagram-as-code,diagrams,diagrams-as-code,java,plantuml,uml,uml-diagram"
vnote,12866,2026-07-18,2016-10-05,https://github.com/vnotex/vnote,1298,677,C++,GNU Lesser General Public License v3.0,A pleasant note-taking platform in native C++.,"editor,markdown,mathjax,note,note-taking,uml,vim,vnote"
LogicFlow,11510,2026-07-16,2020-12-24,https://github.com/didi/LogicFlow,1368,118,TypeScript,Apache License 2.0,A flow chart editing framework focus on business customization.  专注于业务自定义的流程图编辑框架，支持实现脑图、ER图、UML、工作流等各种图编辑场景。,"bpmn,diagram,diagramming,didi,flow,flowchart,graph,javascript,javascript-diagramming-library,mvvm,svg,typescript,visualization"
fireworks-tech-graph,8854,2026-07-17,2026-04-10,https://github.com/yizhiyanhua-ai/fireworks-tech-graph,759,0,Python,MIT License,"Generate production-quality SVG+PNG technical diagrams from natural language. 7 styles, UML support, and AI/Agent workflow patterns.","agent-workflows,ai,claude-code,developer-tools,diagrams,svg"
C4-PlantUML,7350,2026-05-07,2018-09-05,https://github.com/plantuml-stdlib/C4-PlantUML,1166,0,PlantUML,MIT License,C4-PlantUML combines the benefits of PlantUML and the C4 model for providing a simple way of describing and communicate software architectures,"architecture,c4,c4model,diagram,graphviz,plantuml,uml"
drawio-skill,5975,2026-07-17,2026-03-03,https://github.com/Agents365-ai/drawio-skill,477,0,Python,MIT License,"Generate draw.io diagrams from natural language — 11 presets (UML, SysML/MBSE, BPMN, network, C4…), 36 tools: codebase/CI/infra-to-diagram, image→editable diagram, mind maps, build-up animation, exec-view compression, click-through runbooks, PR diff bot. Vision self-check, 10,000+ shapes. Exports PNG/SVG/PDF/JPG.","agent-skills,architecture-diagram,bpmn,claude-code,claude-code-skill,claude-skills,diagram,drawio,erd,flowchart,github-actions,image-to-diagram,mbse,mindmap,network-topology,openclaw,openclaw-skills,skillsmp,sysml,uml"
kroki,4243,2026-07-16,2019-01-10,https://github.com/yuzutech/kroki,306,140,JavaScript,MIT License,Creates diagrams from textual descriptions!,"api,blockdiag,bpmn,bytefield,c4,diagrams,ditaa,erd,excalidraw,graphviz,hacktoberfest,images,mermaid,pikchr,plantuml,svgbob,text,uml,umlet,wavedrom"
nomnoml,2835,2026-05-30,2014-06-03,https://github.com/skanaar/nomnoml,211,15,TypeScript,MIT License,The sassy UML diagram renderer,"class-diagram,diagram,flowchart,nomnoml,uml"
gaphor,2252,2026-07-13,2009-06-24,https://github.com/gaphor/gaphor,239,202,Python,No license,Gaphor is the simple modeling tool,"c4model,diagram,fta,gnome,gtk,mbse,model-based-systems-engineering,modeling,python,stpa,sysml,uml"
umlet,1601,2025-10-09,2015-03-18,https://github.com/umlet/umlet,319,185,JavaScript,GNU General Public License v3.0,Free UML Tool for Fast UML Diagrams,
system-designer,1073,2026-01-07,2016-01-16,https://github.com/design-first/system-designer,157,29,HTML,Apache License 2.0,A low-code development platform for creating systems 🇺🇦#standwithUkraine,"ide,javascript,low-code,metamodel,model,mson,schema,system,uml"
arkit,968,2026-07-18,2019-01-29,https://github.com/dyatko/arkit,46,17,JavaScript,MIT License,JavaScript architecture diagrams and dependency graphs,"architecture,cli,codebase,component,diagram,flow,generate,javascript,js,plantuml,ts,typescript,uml,visualisation"
clang-uml,901,2026-07-16,2021-02-14,https://github.com/bkryza/clang-uml,63,32,C++,Apache License 2.0,Customizable automatic UML diagram generator for C++ based on Clang.,"clang,cplusplus,cpp,cpp17,libclang,mermaidjs,plantuml,uml"
state-machine-cat,863,2026-07-04,2016-09-14,https://github.com/sverweij/state-machine-cat,47,5,TypeScript,MIT License,write beautiful state charts :scream_cat:,"scxml,state-diagram,state-machine,statechart,uml"
PlantUmlClassDiagramGenerator,773,2026-01-16,2015-09-03,https://github.com/pierre3/PlantUmlClassDiagramGenerator,139,44,C#,MIT License,This is a generator to create a class-diagram of PlantUML from the C# source code.,"c-sharp,class-diagram,plantuml"
JetUML,682,2026-05-05,2015-01-07,https://github.com/prmr/JetUML,140,6,Java,GNU General Public License v3.0,A desktop application for fast UML diagramming.,"desktop-application,diagram,java,javafx,modeling,modeling-tool,uml,uml-diagrams"
tx2uml,473,2026-03-08,2020-02-24,https://github.com/naddison36/tx2uml,40,2,TypeScript,MIT License,Ethereum transaction visualizer. Generates UML sequence diagram for a transaction's contract calls.,
sphinxcontrib-mermaid,408,2026-07-18,2016-06-23,https://github.com/mgaitan/sphinxcontrib-mermaid,115,18,Python,Other,Mermaid diagrams in yours sphinx powered docs,"diagrams,sphinx-doc,sphinx-extension,sphinxcontrib,uml"
jdl-studio,407,2026-06-30,2016-02-20,https://github.com/jhipster/jdl-studio,116,15,TypeScript,Apache License 2.0,JDL Studio is an online JHipster Domain Language visual editor,"design,entity-model,hacktoberfest,jdl,jdl-studio,jhipster,jpa,uml"
UMLGraph,354,2025-11-30,2012-04-25,https://github.com/dspinellis/UMLGraph,90,27,Java,"BSD 3-Clause ""New"" or ""Revised"" License",Declarative specification and drawing of UML diagrams,"java,reverse-engineering,uml,uml-diagram"
UML-Designer,329,2025-11-24,2011-03-31,https://github.com/ObeoNetwork/UML-Designer,126,230,Java,No license,"OpenSource (EPL licensed) UML2 Graphical Modelers (Class, Composite, State, Activity, Sequence ...)",
TsUML2,328,2026-07-13,2020-04-30,https://github.com/demike/TsUML2,42,29,TypeScript,MIT License,Generates UML diagrams from TypeScript source code,"class,diagram,generator,typescript,uml"
overarch,294,2026-07-15,2023-05-07,https://github.com/soulspace-org/overarch,8,1,Clojure,Eclipse Public License 1.0,"Overarch provides a data model for the holistic description of a software system, opening multiple use cases on the model data. Supports C4 and UML diagram generation with PlantUML.","architecture,c4model,clojure,diagrams,edn,generation,graphviz,json,markdown,modelling,plantuml,structurizr,systems"
umple,276,2026-07-08,2015-08-26,https://github.com/umple/umple,206,346,Java,MIT License,"Umple: Model-Oriented Programming - embed models in code and vice versa and generate complete systems. Save yourself lots of coding. Do it collaboratively online in UmpleOnline, in an IDE or on the command line.","class-diagram,code-generation,editor,low-code,modeling,state-machine,uml,umple"
swagger_to_uml,268,2025-12-18,2017-11-20,https://github.com/nlohmann/swagger_to_uml,72,16,Python,MIT License,Convert OpenAPI specifications (a.k.a. Swagger) to PlantUML diagrams,"openapi,plantuml,plantuml-diagrams,plantuml-generator,swagger,swagger-docs,swagger2"
Archimate-PlantUML,267,2026-06-18,2019-01-15,https://github.com/plantuml-stdlib/Archimate-PlantUML,71,2,Shell,MIT License,PlantUML macros and other includes for Archimate Diagrams,"archimate,architecture,architecture-as-code,diagram,graphviz,plantuml,uml,uml-diagrams"
umldoclet,255,2026-07-13,2016-02-18,https://github.com/talsma-ict/umldoclet,35,16,Java,Apache License 2.0,Automatically generate PlantUML diagrams in javadoc,"code-analysis,diagram,doclet,generator,javadoc,plantuml,uml"
ecto_erd,243,2026-05-05,2021-08-22,https://github.com/fuelen/ecto_erd,20,6,Elixir,Apache License 2.0,A mix task for generating Entity Relationship Diagram from Ecto schemas available in your project.,"dbml,ecto,elixir,erd,graphviz,mermaid,plantuml,uml"
amateras-modeler,239,2025-10-13,2015-06-29,https://github.com/takezoe/amateras-modeler,63,11,Java,No license,UML and ER-diagram editor for Eclipse,"database,eclipse,eclipse-plugin,er-diagram,modeling,uml,uml-diagram"
