Name,Stars⭐,Last Updated,First Commit,URL,Forks,Issues,Language,License,Description,Topics
vscode-mermaid-preview,237,2025-07-22,2016-05-12,https://github.com/Mermaid-Chart/vscode-mermaid-preview,39,46,TypeScript,MIT License,Previews Mermaid diagrams,"diagram,hacktoberfest,mermaid,previews-mermaid-diagrams,uml,vscode"
plantuml,216,2025-10-24,2011-01-04,https://github.com/hallvard/plantuml,60,32,Java,No license,Embed UML diagrams in files and view them in Eclipse,
BESSER,183,2026-07-17,2022-09-21,https://github.com/BESSER-PEARL/BESSER,40,49,Python,MIT License,A Python-based AI-enhanced low-code open-source platform for smart software development,"ai,class-diagrams,code-generation,dsl,language-modeling,low-code,low-code-platform,lowcode,mde,metamodel,modeling,ocl,open-source,opensource,python,state-machine,uml,vibe,vibecoding"
qm,176,2026-03-10,2016-12-13,https://github.com/QuantumLeaps/qm,42,6,Shell,Other,Graphical modeling and code generation tool based on Hierarchical State Machines (UML Statecharts) and QP Real-Time Event Frameworks,"code-generation,code-generator,embedded-systems,free,fsm,graphical-models,hierarchical-state-machine,linux,macos,modeling-tool,object-oriented,qm-modeling,qp,samek,state-diagram,state-machine,statechart,uml,uml-state-machine,windows"
asciidoctor-kroki,174,2026-07-15,2019-04-22,https://github.com/asciidoctor/asciidoctor-kroki,55,13,JavaScript,MIT License,Asciidoctor.js extension to convert diagrams to images using Kroki!,"asciidoctor,asciidoctor-extension,asciidoctor-kroki,diagram,ditaa,extension,graphviz,hacktoberfest,javascript,kroki,mermaid,plantuml,uml"
sismic,166,2025-12-20,2015-11-30,https://github.com/AlexandreDecan/sismic,32,7,Python,GNU Lesser General Public License v3.0,Sismic Interactive Statechart Model Interpreter and Checker http://sismic.readthedocs.io/,"behavior-driven-development,design-by-contract,finite-state-machine,hierarchical-state-machine,property-testing,python,statecharts,testing,uml"
web-sequence,150,2026-06-19,2017-09-30,https://github.com/ZenUml/web-sequence,28,94,JavaScript,MIT License,Realtime tool for generating sequence diagrams.,"chrome-extension,sequence-diagram,uml,uml-diagrams"
umbrello,139,2026-07-17,2015-09-18,https://github.com/KDE/umbrello,41,0,C++,GNU General Public License v2.0,GUI for diagramming Unified Modelling Language (UML),
pumla,137,2026-06-03,2021-03-05,https://github.com/DrMarkusVoss/pumla,14,10,Python,GNU General Public License v3.0,pumla - systematic re-use of model elements described with PlantUML ,"architecture,architecture-models,c4-model,c4model,diagram,diagrams,json,markdown,plantuml,plantuml-manager,re-usable,requirements,requirements-management,requirements-tracing,software-architecture,uml"
prisma-uml,123,2026-02-12,2020-04-21,https://github.com/emyann/prisma-uml,10,41,TypeScript,No license,A CLI to transform a Prisma schema to a PlantUML Entity RelationShip Diagram,
plantuml-generator,117,2025-11-15,2018-11-04,https://github.com/devlauer/plantuml-generator,30,22,Java,Apache License 2.0,utility and maven plugin project for generating plantuml class diagrams and sequence diagrams out of java classes,"maven,plantuml,plantuml-generator,uml"
openapi-to-plantuml,114,2026-03-02,2021-02-17,https://github.com/davidmoten/openapi-to-plantuml,23,10,Java,No license,Converts OpenAPI 3.0 definitions to Plant UML text for visualisation of your API.,"java,online,openapi,openapi-documentation,openapi3,plantuml,uml-diagram"
PlantUmlViewer,110,2026-06-22,2022-05-20,https://github.com/Fruchtzwerg94/PlantUmlViewer,11,4,C#,MIT License,"A Notepad++ plugin to generate, view and export PlantUML diagrams","diagram,notepad-plus-plus,notepadplusplus,notepadpp,plant-uml,plantuml,plantuml-diagrams,uml"
EIP-PlantUML,104,2025-11-19,2018-09-14,https://github.com/plantuml-stdlib/EIP-PlantUML,20,12,C#,MIT License,"EIP-PlantUML adds Enterprise Integrations Patterns elements to PlantUML to provide easy support of designing EIP architectures for both, up-front design as well as development-time automated documentation generation.","architecture,diagrams,eip,integration,plantuml"
epsilon,103,2026-07-14,2022-09-26,https://github.com/eclipse-epsilon/epsilon,16,28,Java,Eclipse Public License 2.0,"Epsilon is a family of Java-based scripting languages for automating common model-based software engineering tasks, such as code generation, model-to-model transformation and model validation, that work out of the box with EMF (including Xtext and Sirius), UML (including Cameo/MagicDraw), Simulink, XML and other types of models.","domain-specific-languages,model-based-software-engineering,model-driven-engineering"
DomainStory-PlantUML,102,2026-03-04,2020-02-29,https://github.com/johthor/DomainStory-PlantUML,8,11,Shell,MIT License,A PlantUML macro library to describe your domain story as code.,"domain-story,domain-storytelling,plantuml"
plantuml-service,99,2026-07-15,2016-08-06,https://github.com/bitjourney/plantuml-service,6,2,Kotlin,Other,"High-performance HTTP service for PlantUML, used in Kibela","kibela,plantuml,uml,web-api"
Apollon,96,2026-07-18,2018-02-05,https://github.com/ls1intum/Apollon,36,10,TypeScript,MIT License,UML Modeling Editor,"artemis,bpmn,capacitor,diagram,educational-technology,javascript-library,mobile-app,modeling,modeling-exercises,modeling-software,modeling-tool,react,react-library,uml,uml-class-diagram,uml-diagram,uml-diagrams,vscode-extension,webapp"
oop-architect,96,2026-05-24,2026-04-29,https://github.com/ZhongliangGuo/oop-architect,0,0,No language,MIT License,A Claude Code skill for OOP architecture planning and tracking — live Mermaid UML diagrams in CLAUDE.md that update as you code.,
uml-mcp,90,2026-07-18,2025-04-01,https://github.com/antoinebou12/uml-mcp,26,18,Python,MIT License,"UML-MCP Server is a UML diagram generation tool based on MCP (Model Context Protocol), which can help users generate various types of UML diagrams through natural language description or directly writing PlantUML and Mermaid and Kroki https://uml-mcp.vercel.app/docs","mcp,uml"
DesignPatternsSPA,90,2026-03-12,2026-02-20,https://github.com/GitAlboBis/DesignPatternsSPA,0,0,HTML,MIT License,"A Single Page Application built to study and review GoF Design Patterns. Features UML diagrams, concrete application examples, pros/cons, and direct pattern comparisons.",
doctrine-diagram-bundle,81,2026-07-01,2021-09-21,https://github.com/jawira/doctrine-diagram-bundle,4,5,PHP,MIT License,📐 Symfony Bundle to generate database diagrams,"database,diagram,doctrine,php,symfony-bundle,uml"
flow-lens,80,2026-02-13,2024-11-15,https://github.com/google/flow-lens,11,14,TypeScript,Apache License 2.0,"A powerful tool that transforms Salesforce Flow XML files into visual UML diagrams using PlantUML, Graphviz, or Mermaid. Visualize flow structure, highlight changes between versions with Git diff integration, and automatically post diagrams as comments on GitHub pull requests.","flow,salesforce,uml"
use,78,2026-07-12,2020-10-09,https://github.com/useocl/use,33,30,Java,GNU General Public License v2.0,Home of the UML-based Specification Environment (USE),"modeling,ocl,uml,validation,verification"
protobuf-uml-diagram,78,2026-06-24,2019-05-16,https://github.com/kinow/protobuf-uml-diagram,14,8,Jupyter Notebook,Apache License 2.0,Create UML diagrams from Protobuf compiled .proto files using Python,"diagram,graphviz,hacktoberfest,protobuf,uml"
linkml-model,78,2026-07-15,2021-03-14,https://github.com/linkml/linkml-model,29,19,Python,Creative Commons Zero v1.0 Universal,Link Modeling Language (LinkML) model,"data-integration,data-modeling,graph-ql,json,json-schema,linked-data,linkml,metadata,metamodel,schema-language,semantic-web,shacl,shex,uml,yaml"
plantuml,77,2026-03-02,2017-07-04,https://github.com/rkrug/plantuml,7,5,R,GNU General Public License v3.0,R package to build UML graphs using plantuml,
textuml,77,2026-05-25,2014-06-14,https://github.com/abstratt/textuml,10,46,Java,Eclipse Public License 1.0,TextUML compiler and the TextUML Toolkit,"dsl,eclipse,textual,uml"
PlantUML-Interactive-Editor,69,2026-07-15,2024-09-24,https://github.com/Ericsson/PlantUML-Interactive-Editor,12,26,Python,MIT License,A graphical editor for PlantUML diagrams,
plantuml,68,2026-07-13,2018-03-07,https://github.com/koppor/plantuml,12,1,TeX,LaTeX Project Public License v1.3c,A LuaLaTeX package for PlantUML in LaTeX,"latex,latex-package,lualatex,plantuml,uml"
oosmos,68,2025-12-08,2015-12-08,https://github.com/oosmos/oosmos,17,5,C,GNU General Public License v2.0,OOSMOS - The Object Oriented State Machine Operating System.,"arduino,c,concurrency,cpp,embedded-linux,embedded-systems,esp32,esp8266,event-driven,generative,hierarchical-state-machine,iot,object-oriented,operating-system,raspberry-pi,state-machine,stm32,uml,umlet"
umlwriter,63,2026-05-15,2015-03-19,https://github.com/llaville/umlwriter,6,0,PHP,MIT License,Create UML class diagrams from your PHP source,"php,uml-class-diagram"
DepViz-Dependency-Visualizer,63,2025-10-23,2025-10-03,https://github.com/ZENTCH-Q/DepViz-Dependency-Visualizer,6,2,JavaScript,MIT License,"Function call & call stack diagrams for VS Code (Python/TS/JS). Architecture/UML, PlantUML export.","architecture-diagram,architecture-diagrams,architecture-diagrams-generation,call-stack,code-map,code-visualization,code-visualization-tool,dependency-graph,dependency-graph-analysis,function-call,function-call-graph,plantuml,plantuml-diagrams,uml,uml-diagram,vscode-extension"
ocl.js,58,2026-07-18,2016-04-07,https://github.com/SteKoe/ocl.js,11,5,TypeScript,Other,The Object Constraint Language (OCL) is a language for describing rules that apply to MOF conform modelling languages like UML. The OCL is a text based language that provides constraint and object query expressions that cannot be expressed by a meta modelling language.,"constraint-language,constraints,javascript,language,ocl,ocl-expression"
bigUML,55,2026-06-23,2021-07-30,https://github.com/borkdominik/bigUML,16,40,TypeScript,MIT License,"A UML web modeling tool based on GLSP, distributed via a VS Code extension.",
shacl-play,55,2026-07-16,2019-11-19,https://github.com/sparna-git/shacl-play,18,61,Java,GNU Lesser General Public License v3.0,"SHACL validation UI, SHACL documentation generator, UML diagram generator from SHACL, SHACL generator from RDF.","json-ld-context,knowledge-graph,owl,plantuml,playground,rdf,shacl,shacl-rules,sparql,uml"
FlowRun,54,2025-11-07,2021-03-25,https://github.com/sacode387/FlowRun,10,7,Scala,Apache License 2.0,Runnable flowcharts for the web,"d3,diagram,diagramming,editor,executable-flowcharts,executable-uml,flowchart,flowchart-diagrams,flowchart-editor,flowcharts,graphviz,runnable,scala,scalajs,uml,uml-diagram,uml-flow-diagram,visual-programming,visual-programming-language"
ESPD-EDM,53,2026-07-17,2016-06-30,https://github.com/OP-TED/ESPD-EDM,58,1,No language,European Union Public License 1.2,The European Single Procurement Document enables accelerated processing of preliminary evidence in EU public procurement. The ESPD EDM enables applications to integrate with national ESPD service providers.,"codelists,espd,public-procurement,ubl,uml,xml"
webgme-hfsm,53,2026-07-01,2017-04-10,https://github.com/finger563/webgme-hfsm,19,17,C++,MIT License,"Metamodel, visualization, simulation, and code generation for Hierarchical Finite State Machines (HFSMs) following the UML State Machine spec.","code-generators,fsm,hfsm,state-machine,uml,uml-state-machine,webgme,webgme-domain"
fsm2,53,2026-04-05,2020-10-20,https://github.com/onepub-dev/fsm2,6,1,Dart,"BSD 2-Clause ""Simplified"" License",FMS2 provides Dart implementation of the core design aspects of the UML state diagrams. ,"dart,state-machine"
UMLGenerator,52,2026-03-30,2025-05-15,https://github.com/chickensoft-games/UMLGenerator,4,1,C#,MIT License,"A tool for generating UML diagrams from C# code, designed to work seamlessly with Godot and .NET projects. UMLGenerator simplifies visualizing complex class hierarchies, and relationships through automated diagram creation.","chickensoft,csharp,diagrams,sourcegenerator,uml"
jekyll-plantuml,50,2026-07-18,2014-06-24,https://github.com/yegor256/jekyll-plantuml,20,8,Ruby,MIT License,PlantUML plugin for Jekyll: helps you embed UML diagrams into static pages,"diagram,jekyll,plantuml,ruby"
